transaction_id,transaction_date,drug_category,product_id,region,channel,customer_segment,units_sold,unit_price,gross_sales,discount_rate,discount_amount,net_sales,campaign_flag,month,quarter,average_selling_price
TXN-00020519,2024-01-01,Probiotics,PRO-06,South,Government,Independent Pharmacies,44,99.15,4362.81,0.1497,653.23,3709.58,0,2024-01,2024Q1,84.31
TXN-00004924,2024-01-01,Pediatrics,PED-02,West,Retail,Tier-1 Hospitals,13,67.25,874.29,0.1388,121.36,752.92,0,2024-01,2024Q1,57.92
TXN-00006170,2024-01-01,Anticoagulants,ANT-05,South,Distributor,Specialty Centers,24,125.92,3022.14,0.313,946.0,2076.14,0,2024-01,2024Q1,86.51
TXN-00021161,2024-01-01,Minerals,MIN-08,Central,Distributor,Independent Pharmacies,29,50.46,1463.45,0.2018,295.33,1168.12,0,2024-01,2024Q1,40.28
TXN-00018594,2024-01-02,Ophthalmology,OPH-03,West,Retail,Tier-2 Clinics,16,66.27,1060.34,0.1308,138.7,921.64,0,2024-01,2024Q1,57.6
TXN-00000646,2024-01-02,Endocrinology,END-04,East,Distributor,Retail Chains,19,111.84,2125.05,0.1652,351.0,1774.05,0,2024-01,2024Q1,93.37
TXN-00006918,2024-01-02,Immunology,IMM-05,South,Retail,Tier-2 Clinics,25,87.38,2184.57,0.2162,472.41,1712.16,0,2024-01,2024Q1,68.49
TXN-00024752,2024-01-02,Hormonal Therapy,HOR-06,South,Retail,Retail Chains,14,59.75,836.44,0.1191,99.65,736.79,0,2024-01,2024Q1,52.63
TXN-00024475,2024-01-02,Endocrinology,END-01,West,Distributor,Public Health,48,93.19,4472.92,0.1671,747.48,3725.43,0,2024-01,2024Q1,77.61
TXN-00021073,2024-01-02,Antiplatelets,ANT-03,Central,Distributor,Independent Pharmacies,37,60.74,2247.27,0.1916,430.49,1816.78,0,2024-01,2024Q1,49.1
TXN-00001160,2024-01-02,Endocrinology,END-07,West,Retail,Retail Chains,22,86.06,1893.36,0.1517,287.25,1606.12,0,2024-01,2024Q1,73.01
TXN-00010051,2024-01-02,Analgesics,ANA-01,South,Government,Tier-2 Clinics,26,60.77,1580.14,0.2285,361.07,1219.06,0,2024-01,2024Q1,46.89
TXN-00017082,2024-01-02,Gastrointestinal,GAS-05,East,Distributor,Tier-2 Clinics,34,61.07,2076.45,0.1297,269.35,1807.1,0,2024-01,2024Q1,53.15
TXN-00024215,2024-01-02,Neurology,NEU-04,North,Retail,Retail Chains,14,76.93,1077.02,0.1502,161.8,915.22,0,2024-01,2024Q1,65.37
TXN-00022718,2024-01-02,Dental Care,DEN-05,East,Hospital,Retail Chains,35,129.77,4542.08,0.2941,1335.88,3206.2,0,2024-01,2024Q1,91.61
TXN-00008270,2024-01-02,Sleep Care,SLE-04,North,Hospital,Tier-1 Hospitals,8,38.02,304.18,0.1195,36.34,267.84,0,2024-01,2024Q1,33.48
TXN-00003855,2024-01-02,Rare Disease,RAR-04,South,Hospital,Tier-2 Clinics,47,113.88,5352.3,0.0808,432.28,4920.02,0,2024-01,2024Q1,104.68
TXN-00016332,2024-01-02,Antifungals,ANT-05,West,Hospital,Tier-2 Clinics,33,73.19,2415.32,0.1246,300.99,2114.33,0,2024-01,2024Q1,64.07
TXN-00015762,2024-01-02,ENT,ENT-08,West,Distributor,Independent Pharmacies,35,53.04,1856.25,0.2826,524.58,1331.68,1,2024-01,2024Q1,38.05
TXN-00015194,2024-01-02,Women Health,WOM-04,East,Retail,Tier-1 Hospitals,10,83.06,830.6,0.0874,72.62,757.98,0,2024-01,2024Q1,75.8
TXN-00005905,2024-01-02,Fertility,FER-03,East,Retail,Tier-1 Hospitals,22,77.83,1712.18,0.1331,227.82,1484.36,0,2024-01,2024Q1,67.47
TXN-00024000,2024-01-02,Diuretics,DIU-02,North,Hospital,Independent Pharmacies,41,121.66,4988.14,0.3442,1716.73,3271.41,0,2024-01,2024Q1,79.79
TXN-00014436,2024-01-02,Pain Management,PAI-01,Central,Distributor,Retail Chains,30,168.52,5055.65,0.2683,1356.63,3699.03,0,2024-01,2024Q1,123.3
TXN-00011379,2024-01-02,Oral Rehydration,ORA-06,North,Retail,Public Health,42,110.51,4641.38,0.1266,587.46,4053.93,1,2024-01,2024Q1,96.52
TXN-00004626,2024-01-02,Rheumatology,RHE-06,South,Retail,Tier-1 Hospitals,25,55.06,1376.38,0.2219,305.4,1070.98,1,2024-01,2024Q1,42.84
TXN-00000573,2024-01-02,Dermatology,DER-02,North,Distributor,Retail Chains,36,105.7,3805.06,0.1801,685.46,3119.6,0,2024-01,2024Q1,86.66
TXN-00011970,2024-01-02,Anti-malarial,ANT-08,East,Retail,Public Health,41,82.18,3369.33,0.1345,453.13,2916.21,0,2024-01,2024Q1,71.13
TXN-00019487,2024-01-02,Minerals,MIN-07,South,Distributor,Tier-1 Hospitals,13,55.9,726.71,0.1243,90.3,636.41,0,2024-01,2024Q1,48.95
TXN-00008002,2024-01-02,Pediatrics,PED-08,West,Hospital,Public Health,23,66.24,1523.45,0.1918,292.14,1231.31,0,2024-01,2024Q1,53.54
TXN-00024997,2024-01-02,Endocrinology,END-03,East,Hospital,Specialty Centers,22,86.18,1895.91,0.1842,349.29,1546.62,0,2024-01,2024Q1,70.3
TXN-00006148,2024-01-02,Medical Nutrition,MED-03,South,Hospital,Tier-2 Clinics,14,48.92,684.92,0.0717,49.11,635.81,0,2024-01,2024Q1,45.42
TXN-00020049,2024-01-02,Pediatrics,PED-03,East,Hospital,Tier-1 Hospitals,16,76.15,1218.36,0.0859,104.66,1113.7,0,2024-01,2024Q1,69.61
TXN-00001113,2024-01-02,Women Health,WOM-06,South,Retail,Tier-1 Hospitals,14,83.25,1165.57,0.2762,321.96,843.61,0,2024-01,2024Q1,60.26
TXN-00010657,2024-01-03,Antifungals,ANT-05,Central,Retail,Retail Chains,23,81.61,1876.99,0.1462,274.44,1602.55,0,2024-01,2024Q1,69.68
TXN-00019648,2024-01-03,Antifungals,ANT-08,Central,Distributor,Independent Pharmacies,29,65.91,1911.33,0.1901,363.28,1548.05,0,2024-01,2024Q1,53.38
TXN-00000903,2024-01-03,Rare Disease,RAR-02,West,Retail,Tier-2 Clinics,30,109.05,3271.42,0.3794,1241.02,2030.4,0,2024-01,2024Q1,67.68
TXN-00016661,2024-01-03,Analgesics,ANA-07,North,Retail,Retail Chains,24,51.28,1230.75,0.3097,381.2,849.55,0,2024-01,2024Q1,35.4
TXN-00001077,2024-01-03,Endocrinology,END-02,West,Online,Retail Chains,17,87.28,1483.7,0.1818,269.69,1214.02,0,2024-01,2024Q1,71.41
TXN-00016594,2024-01-03,Pain Management,PAI-06,South,Retail,Independent Pharmacies,28,174.25,4878.99,0.38,1854.01,3024.97,1,2024-01,2024Q1,108.03
TXN-00003791,2024-01-03,Oral Rehydration,ORA-08,North,Retail,Specialty Centers,41,97.42,3994.16,0.1687,673.89,3320.27,0,2024-01,2024Q1,80.98
TXN-00004334,2024-01-03,Smoking Cessation,SMO-03,East,Government,Specialty Centers,61,99.47,6067.49,0.3212,1948.67,4118.81,1,2024-01,2024Q1,67.52
TXN-00019590,2024-01-03,Oral Rehydration,ORA-08,Central,Retail,Independent Pharmacies,32,91.63,2932.17,0.1703,499.35,2432.81,0,2024-01,2024Q1,76.03
TXN-00002355,2024-01-03,Antihistamines,ANT-07,West,Distributor,Retail Chains,42,102.53,4306.31,0.229,986.1,3320.22,0,2024-01,2024Q1,79.05
TXN-00015955,2024-01-03,Smoking Cessation,SMO-03,West,Government,Retail Chains,52,101.63,5284.98,0.1991,1052.13,4232.85,0,2024-01,2024Q1,81.4
TXN-00020559,2024-01-03,Psychiatry,PSY-05,West,Online,Tier-2 Clinics,13,57.43,746.61,0.082,61.24,685.37,0,2024-01,2024Q1,52.72
TXN-00018975,2024-01-03,Urology,URO-01,North,Hospital,Independent Pharmacies,18,88.32,1589.75,0.2243,356.61,1233.14,0,2024-01,2024Q1,68.51
TXN-00005578,2024-01-03,Medical Nutrition,MED-02,North,Online,Tier-2 Clinics,19,48.73,925.91,0.1732,160.33,765.58,0,2024-01,2024Q1,40.29
TXN-00020601,2024-01-03,Diuretics,DIU-07,West,Distributor,Specialty Centers,44,114.07,5019.04,0.1802,904.37,4114.66,0,2024-01,2024Q1,93.52
TXN-00000786,2024-01-03,Anti-inflammatory,ANT-05,Central,Online,Retail Chains,19,53.75,1021.27,0.162,165.42,855.85,0,2024-01,2024Q1,45.04
TXN-00017255,2024-01-03,Dental Care,DEN-02,South,Retail,Retail Chains,20,99.92,1998.39,0.1081,215.93,1782.46,0,2024-01,2024Q1,89.12
TXN-00003275,2024-01-03,Rare Disease,RAR-04,South,Retail,Independent Pharmacies,32,112.15,3588.68,0.1242,445.73,3142.96,0,2024-01,2024Q1,98.22
TXN-00016151,2024-01-03,Probiotics,PRO-02,North,Online,Tier-2 Clinics,40,93.4,3736.15,0.1287,480.72,3255.43,0,2024-01,2024Q1,81.39
TXN-00020605,2024-01-03,Minerals,MIN-08,North,Hospital,Specialty Centers,25,53.02,1325.56,0.1726,228.85,1096.71,0,2024-01,2024Q1,43.87
TXN-00009530,2024-01-03,Smoking Cessation,SMO-06,West,Online,Independent Pharmacies,29,114.27,3313.82,0.2468,817.72,2496.1,1,2024-01,2024Q1,86.07
TXN-00022384,2024-01-03,Hormonal Therapy,HOR-01,North,Hospital,Tier-1 Hospitals,31,54.91,1702.32,0.2604,443.31,1259.01,1,2024-01,2024Q1,40.61
TXN-00014657,2024-01-03,Anticoagulants,ANT-04,West,Online,Independent Pharmacies,28,125.92,3525.77,0.2923,1030.43,2495.34,0,2024-01,2024Q1,89.12
TXN-00011482,2024-01-03,Anesthesia,ANE-07,West,Distributor,Tier-1 Hospitals,20,65.13,1302.57,0.2376,309.49,993.08,1,2024-01,2024Q1,49.65
TXN-00014696,2024-01-03,Respiratory,RES-02,Central,Distributor,Specialty Centers,28,51.03,1428.75,0.1995,285.0,1143.75,0,2024-01,2024Q1,40.85
TXN-00013123,2024-01-03,Respiratory,RES-04,West,Government,Independent Pharmacies,31,51.89,1608.57,0.3272,526.37,1082.2,0,2024-01,2024Q1,34.91
TXN-00020026,2024-01-03,Geriatrics,GER-02,East,Retail,Retail Chains,13,58.17,756.16,0.2503,189.27,566.9,0,2024-01,2024Q1,43.61
TXN-00022912,2024-01-03,Endocrinology,END-07,Central,Retail,Tier-2 Clinics,24,85.31,2047.4,0.0952,194.92,1852.48,0,2024-01,2024Q1,77.19
TXN-00019816,2024-01-03,Antivirals,ANT-05,North,Distributor,Independent Pharmacies,21,61.93,1300.53,0.3588,466.67,833.85,0,2024-01,2024Q1,39.71
TXN-00013173,2024-01-03,Antihistamines,ANT-02,West,Online,Specialty Centers,28,109.87,3076.43,0.2407,740.64,2335.8,0,2024-01,2024Q1,83.42
TXN-00014855,2024-01-03,Neurology,NEU-07,East,Retail,Tier-1 Hospitals,16,84.39,1350.22,0.0844,113.97,1236.25,0,2024-01,2024Q1,77.27
TXN-00006231,2024-01-03,Endocrinology,END-08,South,Hospital,Tier-2 Clinics,37,85.06,3147.35,0.1881,592.07,2555.28,0,2024-01,2024Q1,69.06
TXN-00012338,2024-01-03,Gastrointestinal,GAS-06,West,Retail,Retail Chains,23,58.86,1353.68,0.0781,105.7,1247.98,0,2024-01,2024Q1,54.26
TXN-00012410,2024-01-03,Oral Rehydration,ORA-08,West,Hospital,Independent Pharmacies,42,92.45,3882.81,0.221,858.26,3024.55,0,2024-01,2024Q1,72.01
TXN-00022180,2024-01-03,Diagnostic Aids,DIA-05,North,Hospital,Tier-1 Hospitals,26,85.89,2233.25,0.105,234.52,1998.73,0,2024-01,2024Q1,76.87
TXN-00014096,2024-01-03,Wound Care,WOU-03,West,Online,Tier-2 Clinics,18,59.32,1067.8,0.2495,266.41,801.39,0,2024-01,2024Q1,44.52
TXN-00023383,2024-01-03,Vitamins,VIT-07,West,Retail,Tier-1 Hospitals,20,71.03,1420.61,0.1043,148.18,1272.43,0,2024-01,2024Q1,63.62
TXN-00007794,2024-01-03,Geriatrics,GER-05,West,Distributor,Independent Pharmacies,20,57.31,1146.13,0.1085,124.3,1021.82,0,2024-01,2024Q1,51.09
TXN-00006376,2024-01-03,Antifungals,ANT-03,North,Retail,Tier-2 Clinics,21,65.31,1371.43,0.2119,290.56,1080.87,0,2024-01,2024Q1,51.47
TXN-00009476,2024-01-03,Gastrointestinal,GAS-06,Central,Hospital,Tier-2 Clinics,25,57.2,1429.97,0.1181,168.92,1261.05,0,2024-01,2024Q1,50.44
TXN-00021419,2024-01-04,Renal Care,REN-03,West,Distributor,Retail Chains,26,60.0,1560.12,0.38,592.85,967.27,1,2024-01,2024Q1,37.2
TXN-00023331,2024-01-04,Weight Management,WEI-02,West,Retail,Independent Pharmacies,36,79.37,2857.22,0.1187,339.16,2518.07,0,2024-01,2024Q1,69.95
TXN-00006369,2024-01-04,Dental Care,DEN-08,West,Distributor,Tier-2 Clinics,43,109.49,4708.18,0.2715,1278.26,3429.93,0,2024-01,2024Q1,79.77
TXN-00023957,2024-01-04,Rheumatology,RHE-03,Central,Retail,Tier-1 Hospitals,18,49.64,893.44,0.0459,40.99,852.45,0,2024-01,2024Q1,47.36
TXN-00021799,2024-01-04,Renal Care,REN-07,West,Retail,Tier-2 Clinics,16,73.21,1171.32,0.1879,220.13,951.19,0,2024-01,2024Q1,59.45
TXN-00006899,2024-01-04,ENT,ENT-03,West,Online,Tier-1 Hospitals,14,59.57,833.97,0.187,155.92,678.05,0,2024-01,2024Q1,48.43
TXN-00016430,2024-01-04,ENT,ENT-06,East,Distributor,Independent Pharmacies,30,48.57,1457.03,0.38,553.67,903.36,1,2024-01,2024Q1,30.11
TXN-00000458,2024-01-04,Renal Care,REN-05,West,Distributor,Tier-1 Hospitals,34,62.66,2130.33,0.1463,311.57,1818.76,0,2024-01,2024Q1,53.49
TXN-00003762,2024-01-04,Endocrinology,END-07,North,Government,Independent Pharmacies,34,109.24,3714.02,0.2142,795.62,2918.39,0,2024-01,2024Q1,85.84
TXN-00010315,2024-01-04,Probiotics,PRO-07,Central,Hospital,Public Health,44,113.63,4999.76,0.1503,751.45,4248.31,0,2024-01,2024Q1,96.55
TXN-00005221,2024-01-04,Pain Management,PAI-02,West,Retail,Tier-2 Clinics,15,172.72,2590.77,0.1292,334.7,2256.07,0,2024-01,2024Q1,150.4
TXN-00019066,2024-01-04,Diagnostic Aids,DIA-08,South,Government,Public Health,20,90.0,1800.03,0.1844,331.93,1468.1,0,2024-01,2024Q1,73.4
TXN-00000065,2024-01-04,Diagnostic Aids,DIA-03,West,Retail,Tier-1 Hospitals,21,86.68,1820.22,0.0434,78.99,1741.23,0,2024-01,2024Q1,82.92
TXN-00000010,2024-01-04,Antihistamines,ANT-03,South,Retail,Tier-2 Clinics,33,108.13,3568.36,0.0792,282.65,3285.7,0,2024-01,2024Q1,99.57
TXN-00009520,2024-01-04,Lipid Management,LIP-01,North,Retail,Specialty Centers,4,40.59,162.36,0.1158,18.81,143.55,0,2024-01,2024Q1,35.89
TXN-00011420,2024-01-04,Diuretics,DIU-04,South,Retail,Retail Chains,35,127.65,4467.72,0.3447,1540.08,2927.65,0,2024-01,2024Q1,83.65
TXN-00022793,2024-01-04,Smoking Cessation,SMO-02,Central,Hospital,Tier-1 Hospitals,40,111.94,4477.74,0.2169,971.08,3506.66,0,2024-01,2024Q1,87.67
TXN-00013142,2024-01-04,Pain Management,PAI-03,South,Retail,Tier-2 Clinics,22,183.45,4035.86,0.0973,392.66,3643.21,0,2024-01,2024Q1,165.6
TXN-00022514,2024-01-04,Endocrinology,END-04,South,Distributor,Tier-1 Hospitals,26,77.47,2014.12,0.2119,426.71,1587.41,0,2024-01,2024Q1,61.05
TXN-00004461,2024-01-04,Anesthesia,ANE-06,North,Retail,Tier-1 Hospitals,10,80.2,802.02,0.123,98.64,703.38,0,2024-01,2024Q1,70.34
TXN-00005240,2024-01-04,Anesthesia,ANE-04,South,Distributor,Independent Pharmacies,18,69.14,1244.48,0.1211,150.7,1093.77,0,2024-01,2024Q1,60.76
TXN-00009620,2024-01-04,Ophthalmology,OPH-06,West,Online,Specialty Centers,16,56.46,903.38,0.2379,214.92,688.46,1,2024-01,2024Q1,43.03
TXN-00014661,2024-01-04,Hormonal Therapy,HOR-03,South,Retail,Tier-1 Hospitals,31,54.93,1702.92,0.2728,464.55,1238.37,0,2024-01,2024Q1,39.95
TXN-00000714,2024-01-04,Smoking Cessation,SMO-02,North,Distributor,Specialty Centers,69,101.35,6993.1,0.1204,841.91,6151.18,0,2024-01,2024Q1,89.15
TXN-00001953,2024-01-04,Anticoagulants,ANT-02,North,Government,Tier-2 Clinics,29,127.22,3689.25,0.2099,774.26,2914.99,1,2024-01,2024Q1,100.52
TXN-00018800,2024-01-04,Nephrology,NEP-03,West,Hospital,Retail Chains,18,46.35,834.21,0.38,317.0,517.21,0,2024-01,2024Q1,28.73
TXN-00017611,2024-01-04,Smoking Cessation,SMO-03,North,Retail,Retail Chains,42,92.63,3890.64,0.38,1478.44,2412.2,0,2024-01,2024Q1,57.43
TXN-00008710,2024-01-04,Sleep Care,SLE-08,North,Retail,Public Health,2,41.3,82.61,0.0771,6.37,76.24,0,2024-01,2024Q1,38.12
TXN-00017848,2024-01-04,Minerals,MIN-04,North,Government,Retail Chains,22,57.41,1263.1,0.3631,458.68,804.43,0,2024-01,2024Q1,36.56
TXN-00002398,2024-01-04,Anticoagulants,ANT-02,West,Distributor,Tier-2 Clinics,30,104.34,3130.19,0.3512,1099.48,2030.72,0,2024-01,2024Q1,67.69
TXN-00018633,2024-01-04,Anti-tubercular,ANT-08,South,Hospital,Public Health,20,71.82,1436.44,0.105,150.87,1285.57,0,2024-01,2024Q1,64.28
TXN-00002381,2024-01-04,Antihistamines,ANT-07,North,Distributor,Tier-1 Hospitals,39,102.7,4005.43,0.206,825.09,3180.33,0,2024-01,2024Q1,81.55
TXN-00008545,2024-01-04,Endocrinology,END-08,East,Distributor,Tier-2 Clinics,38,93.44,3550.91,0.089,316.16,3234.75,0,2024-01,2024Q1,85.12
TXN-00022084,2024-01-04,Gastrointestinal,GAS-04,West,Distributor,Retail Chains,31,63.71,1975.16,0.2011,397.28,1577.87,0,2024-01,2024Q1,50.9
TXN-00012133,2024-01-04,Nephrology,NEP-01,South,Retail,Retail Chains,23,53.79,1237.16,0.0962,119.0,1118.16,0,2024-01,2024Q1,48.62
TXN-00001792,2024-01-04,Dental Care,DEN-01,Central,Hospital,Specialty Centers,29,114.86,3330.85,0.2097,698.58,2632.27,0,2024-01,2024Q1,90.77
TXN-00005393,2024-01-04,Ophthalmology,OPH-01,South,Retail,Independent Pharmacies,20,62.35,1247.0,0.2182,272.06,974.94,0,2024-01,2024Q1,48.75
TXN-00005685,2024-01-04,Dermatology,DER-03,North,Retail,Tier-2 Clinics,25,122.03,3050.87,0.1218,371.67,2679.19,0,2024-01,2024Q1,107.17
TXN-00021577,2024-01-04,Smoking Cessation,SMO-02,South,Distributor,Tier-2 Clinics,51,98.44,5020.42,0.2449,1229.29,3791.12,0,2024-01,2024Q1,74.34
TXN-00005522,2024-01-04,Respiratory,RES-02,South,Government,Specialty Centers,44,47.17,2075.58,0.2443,507.06,1568.53,1,2024-01,2024Q1,35.65
TXN-00024186,2024-01-04,Hormonal Therapy,HOR-05,East,Online,Tier-2 Clinics,20,59.2,1184.0,0.0873,103.41,1080.59,0,2024-01,2024Q1,54.03
TXN-00000401,2024-01-04,Immunology,IMM-08,North,Retail,Retail Chains,20,81.24,1624.77,0.111,180.32,1444.45,0,2024-01,2024Q1,72.22
TXN-00023680,2024-01-04,Probiotics,PRO-01,North,Retail,Independent Pharmacies,35,100.21,3507.23,0.1433,502.47,3004.76,0,2024-01,2024Q1,85.85
TXN-00015022,2024-01-04,Endocrinology,END-07,Central,Distributor,Tier-1 Hospitals,35,88.79,3107.62,0.1757,546.14,2561.48,0,2024-01,2024Q1,73.19
TXN-00010012,2024-01-05,Anticoagulants,ANT-06,South,Distributor,Tier-2 Clinics,23,117.1,2693.29,0.3361,905.23,1788.07,1,2024-01,2024Q1,77.74
TXN-00022665,2024-01-05,Pain Management,PAI-06,Central,Distributor,Tier-2 Clinics,30,187.45,5623.58,0.1544,868.23,4755.34,0,2024-01,2024Q1,158.51
TXN-00013408,2024-01-05,Emergency Care,EME-03,East,Government,Independent Pharmacies,34,57.22,1945.31,0.3357,653.04,1292.27,0,2024-01,2024Q1,38.01
TXN-00024373,2024-01-05,Liver Care,LIV-02,South,Government,Tier-2 Clinics,29,132.79,3850.85,0.272,1047.29,2803.56,0,2024-01,2024Q1,96.67
TXN-00013516,2024-01-05,Smoking Cessation,SMO-08,South,Retail,Public Health,58,104.31,6049.94,0.1413,855.06,5194.88,0,2024-01,2024Q1,89.57
TXN-00024759,2024-01-05,Oral Rehydration,ORA-04,North,Hospital,Independent Pharmacies,60,92.97,5577.97,0.2291,1277.65,4300.32,0,2024-01,2024Q1,71.67
TXN-00008153,2024-01-05,Weight Management,WEI-07,North,Retail,Tier-1 Hospitals,34,78.86,2681.29,0.119,319.06,2362.23,1,2024-01,2024Q1,69.48
TXN-00017594,2024-01-05,Women Health,WOM-07,South,Retail,Tier-2 Clinics,15,86.86,1302.86,0.0935,121.79,1181.07,0,2024-01,2024Q1,78.74
TXN-00017645,2024-01-05,Oral Rehydration,ORA-06,South,Retail,Tier-1 Hospitals,33,85.4,2818.12,0.1991,561.2,2256.92,0,2024-01,2024Q1,68.39
TXN-00016791,2024-01-05,Pediatrics,PED-08,South,Hospital,Independent Pharmacies,27,63.44,1712.91,0.1365,233.89,1479.02,0,2024-01,2024Q1,54.78
TXN-00008855,2024-01-05,Pediatrics,PED-05,Central,Hospital,Specialty Centers,18,69.54,1251.75,0.184,230.27,1021.47,0,2024-01,2024Q1,56.75
TXN-00013570,2024-01-05,Dental Care,DEN-06,West,Distributor,Tier-2 Clinics,32,109.05,3489.64,0.1438,501.78,2987.86,0,2024-01,2024Q1,93.37
TXN-00010066,2024-01-05,Oral Rehydration,ORA-05,North,Online,Tier-2 Clinics,32,82.18,2629.65,0.2378,625.35,2004.3,0,2024-01,2024Q1,62.63
TXN-00023531,2024-01-05,Geriatrics,GER-02,West,Distributor,Retail Chains,10,52.03,520.3,0.186,96.78,423.52,0,2024-01,2024Q1,42.35
