transaction_id,transaction_date,drug_category,product_id,region,channel,customer_segment,units_sold,unit_price,gross_sales,discount_rate,discount_amount,net_sales,campaign_flag
TXN-00022903,2024-01-02,Anti-inflammatory,ANT-02,North,Retail,Retail Chains,35,44.2,1547.12,0.2844,440.01,1107.11,1
TXN-00006090,2024-01-02,Antihistamines,ANT-05,West,Hospital,Tier-1 Hospitals,40,57.41,2296.41,0.1168,268.19,2028.23,0
TXN-00000831,2024-01-02,Fertility,FER-08,Central,Distributor,Retail Chains,21,68.85,1445.86,0.1137,164.38,1281.48,0
TXN-00024937,2024-01-02,Antifungals,ANT-07,West,Online,Tier-1 Hospitals,18,61.34,1104.04,0.38,419.53,684.5,1
TXN-00020234,2024-01-02,Anti-malarial,ANT-06,West,Retail,Tier-1 Hospitals,35,31.19,1091.57,0.1498,163.56,928.02,0
TXN-00008187,2024-01-02,Wound Care,WOU-07,East,Government,Tier-1 Hospitals,47,88.0,4136.12,0.1424,589.11,3547.0,0
TXN-00024400,2024-01-02,Cardiology,CAR-05,Central,Hospital,Tier-1 Hospitals,14,79.51,1113.15,0.2046,227.79,885.36,1
TXN-00000758,2024-01-02,Rheumatology,RHE-01,West,Retail,Specialty Centers,14,66.29,928.1,0.203,188.38,739.72,0
TXN-00004811,2024-01-02,Antidiabetics,ANT-02,West,Online,Tier-1 Hospitals,29,105.04,3046.2,0.2763,841.58,2204.62,0
TXN-00010236,2024-01-02,Nephrology,NEP-07,East,Online,Tier-1 Hospitals,28,133.74,3744.81,0.2213,828.69,2916.12,0
TXN-00011564,2024-01-02,Antifungals,ANT-08,West,Government,Retail Chains,37,53.85,1992.63,0.2367,471.58,1521.05,0
TXN-00015379,2024-01-02,Gastrointestinal,GAS-03,Central,Retail,Independent Pharmacies,18,33.82,608.69,0.0894,54.4,554.29,0
TXN-00001345,2024-01-02,Hormonal Therapy,HOR-04,Central,Hospital,Independent Pharmacies,27,52.85,1426.83,0.1228,175.26,1251.58,1
TXN-00017267,2024-01-02,Antifungals,ANT-07,East,Hospital,Tier-2 Clinics,29,55.01,1595.41,0.2369,378.03,1217.38,0
TXN-00020790,2024-01-03,Cough Cold,COU-07,West,Distributor,Tier-2 Clinics,7,89.11,623.74,0.2238,139.61,484.13,0
TXN-00020786,2024-01-03,Respiratory,RES-07,West,Retail,Tier-2 Clinics,16,41.91,670.6,0.1495,100.24,570.36,0
TXN-00016779,2024-01-03,Respiratory,RES-03,North,Government,Tier-2 Clinics,31,37.94,1176.03,0.2939,345.59,830.45,0
TXN-00001262,2024-01-03,Antivirals,ANT-03,West,Distributor,Retail Chains,10,33.96,339.65,0.1434,48.69,290.95,0
TXN-00016846,2024-01-03,Endocrinology,END-04,West,Retail,Tier-2 Clinics,16,35.46,567.35,0.15,85.12,482.23,0
TXN-00014842,2024-01-03,Immunology,IMM-08,South,Retail,Tier-2 Clinics,32,39.52,1264.54,0.0881,111.44,1153.1,0
TXN-00006561,2024-01-03,Endocrinology,END-02,East,Hospital,Retail Chains,15,35.99,539.8,0.3223,173.97,365.83,0
TXN-00012595,2024-01-03,Gastrointestinal,GAS-08,North,Hospital,Public Health,24,40.45,970.92,0.1057,102.61,868.31,0
TXN-00020744,2024-01-03,Cough Cold,COU-07,South,Hospital,Retail Chains,9,85.86,772.78,0.2291,177.07,595.71,1
TXN-00014881,2024-01-03,Emergency Care,EME-02,East,Retail,Independent Pharmacies,11,44.61,490.7,0.1495,73.35,417.36,0
TXN-00022365,2024-01-03,Rheumatology,RHE-05,South,Government,Independent Pharmacies,29,58.94,1709.35,0.1642,280.74,1428.61,0
TXN-00003460,2024-01-03,Women Health,WOM-05,North,Retail,Retail Chains,7,23.71,166.0,0.2048,33.99,132.01,0
TXN-00001088,2024-01-03,Antivirals,ANT-06,West,Online,Independent Pharmacies,7,34.9,244.31,0.1867,45.61,198.7,0
TXN-00013358,2024-01-03,Hypertension,HYP-06,Central,Distributor,Independent Pharmacies,33,62.32,2056.61,0.1567,322.36,1734.25,0
TXN-00022569,2024-01-03,Diagnostic Aids,DIA-04,East,Government,Tier-2 Clinics,59,146.58,8648.43,0.2331,2015.95,6632.48,0
TXN-00023568,2024-01-03,Dermatology,DER-07,North,Retail,Public Health,16,36.47,583.51,0.2319,135.29,448.21,0
TXN-00009661,2024-01-03,Antifungals,ANT-03,South,Retail,Independent Pharmacies,37,64.36,2381.28,0.1746,415.86,1965.43,0
TXN-00009715,2024-01-03,Hypertension,HYP-07,North,Distributor,Independent Pharmacies,46,71.63,3294.88,0.3656,1204.53,2090.35,0
TXN-00019833,2024-01-03,Women Health,WOM-08,North,Distributor,Public Health,6,20.43,122.58,0.277,33.96,88.62,0
TXN-00017440,2024-01-03,Antifungals,ANT-02,South,Distributor,Tier-2 Clinics,31,56.3,1745.29,0.1817,317.14,1428.15,0
TXN-00002540,2024-01-03,Critical Care,CRI-04,North,Retail,Tier-1 Hospitals,14,34.77,486.84,0.0436,21.22,465.63,0
TXN-00019775,2024-01-03,Ophthalmology,OPH-01,North,Online,Tier-2 Clinics,10,34.65,346.46,0.1872,64.87,281.6,0
TXN-00011667,2024-01-03,Vitamins,VIT-04,North,Retail,Tier-1 Hospitals,20,31.51,630.21,0.2132,134.37,495.84,0
TXN-00006416,2024-01-03,Insulin,INS-06,West,Hospital,Tier-1 Hospitals,19,143.74,2731.05,0.1998,545.59,2185.46,0
TXN-00003976,2024-01-03,Vitamins,VIT-06,West,Government,Tier-1 Hospitals,38,29.62,1125.68,0.3521,396.31,729.37,1
TXN-00020211,2024-01-03,Critical Care,CRI-08,Central,Online,Tier-1 Hospitals,12,39.42,473.01,0.0625,29.56,443.45,0
TXN-00013308,2024-01-03,Cough Cold,COU-08,East,Online,Retail Chains,3,91.13,273.38,0.195,53.3,220.08,0
TXN-00020001,2024-01-03,Endocrinology,END-08,North,Hospital,Independent Pharmacies,18,41.11,739.92,0.1906,141.01,598.92,1
TXN-00005763,2024-01-03,Antivirals,ANT-04,East,Retail,Retail Chains,8,32.66,261.28,0.1302,34.01,227.27,0
TXN-00016336,2024-01-03,Hormonal Therapy,HOR-03,South,Retail,Independent Pharmacies,13,56.39,733.06,0.1482,108.61,624.45,0
TXN-00015040,2024-01-03,Lipid Management,LIP-03,North,Retail,Tier-1 Hospitals,3,98.25,294.74,0.2484,73.23,221.51,0
TXN-00007979,2024-01-03,Antidiabetics,ANT-07,East,Retail,Tier-1 Hospitals,29,105.67,3064.34,0.2122,650.15,2414.2,0
TXN-00004519,2024-01-03,Analgesics,ANA-06,North,Retail,Tier-1 Hospitals,5,114.95,574.73,0.2064,118.62,456.11,0
TXN-00016140,2024-01-03,Critical Care,CRI-07,North,Distributor,Retail Chains,26,40.61,1055.91,0.2537,267.92,787.99,1
TXN-00000971,2024-01-03,Antibiotics,ANT-03,Central,Online,Specialty Centers,26,50.08,1302.19,0.2402,312.79,989.4,0
TXN-00023097,2024-01-03,Urology,URO-07,North,Hospital,Retail Chains,4,84.9,339.6,0.253,85.9,253.7,0
TXN-00012523,2024-01-03,Neurology,NEU-07,North,Distributor,Tier-1 Hospitals,34,54.14,1840.87,0.1318,242.54,1598.33,0
TXN-00019160,2024-01-03,Cardiology,CAR-08,South,Distributor,Retail Chains,12,74.55,894.62,0.2003,179.22,715.39,0
TXN-00014281,2024-01-03,Nephrology,NEP-04,West,Retail,Independent Pharmacies,25,118.98,2974.43,0.1471,437.66,2536.77,0
TXN-00010842,2024-01-03,Geriatrics,GER-08,West,Retail,Independent Pharmacies,22,31.61,695.52,0.1332,92.67,602.85,0
TXN-00006554,2024-01-04,Anti-inflammatory,ANT-07,South,Retail,Independent Pharmacies,39,56.62,2208.2,0.38,839.11,1369.08,0
TXN-00022699,2024-01-04,Allergy,ALL-01,West,Hospital,Specialty Centers,37,58.86,2177.95,0.2219,483.34,1694.62,0
TXN-00002583,2024-01-04,Respiratory,RES-03,East,Hospital,Specialty Centers,35,39.98,1399.43,0.38,531.78,867.65,1
TXN-00008730,2024-01-04,Rheumatology,RHE-04,East,Government,Tier-2 Clinics,18,67.99,1223.8,0.3453,422.54,801.26,0
TXN-00008895,2024-01-04,Critical Care,CRI-03,South,Hospital,Independent Pharmacies,13,37.93,493.06,0.189,93.19,399.87,0
TXN-00023516,2024-01-04,Geriatrics,GER-08,Central,Hospital,Tier-2 Clinics,33,35.15,1159.92,0.1292,149.9,1010.02,0
TXN-00005707,2024-01-04,Antivirals,ANT-08,East,Retail,Tier-2 Clinics,9,32.91,296.2,0.1543,45.7,250.5,0
TXN-00021762,2024-01-04,Antihistamines,ANT-08,East,Hospital,Specialty Centers,41,59.89,2455.63,0.2714,666.4,1789.23,0
TXN-00011605,2024-01-04,Neurology,NEU-04,East,Government,Tier-2 Clinics,35,49.95,1748.31,0.1923,336.12,1412.18,0
TXN-00022269,2024-01-04,Nephrology,NEP-08,West,Government,Tier-2 Clinics,56,142.09,7957.18,0.2579,2052.55,5904.64,1
TXN-00002566,2024-01-04,Hypertension,HYP-08,North,Distributor,Retail Chains,35,66.3,2320.39,0.1998,463.5,1856.88,0
TXN-00000586,2024-01-04,Cardiology,CAR-03,South,Retail,Independent Pharmacies,6,89.6,537.58,0.0772,41.53,496.05,0
TXN-00015207,2024-01-04,Urology,URO-07,South,Distributor,Specialty Centers,12,77.82,933.8,0.1417,132.36,801.43,0
TXN-00005406,2024-01-04,Respiratory,RES-08,Central,Hospital,Public Health,24,45.61,1094.52,0.1937,211.99,882.53,0
TXN-00009705,2024-01-04,Allergy,ALL-06,Central,Online,Tier-2 Clinics,13,61.44,798.77,0.0993,79.36,719.42,0
TXN-00010500,2024-01-04,Dermatology,DER-08,East,Distributor,Independent Pharmacies,16,37.22,595.58,0.1406,83.76,511.82,0
TXN-00005870,2024-01-04,Anticoagulants,ANT-05,South,Retail,Independent Pharmacies,12,38.14,457.69,0.1883,86.16,371.52,1
TXN-00018818,2024-01-04,Analgesics,ANA-08,Central,Online,Independent Pharmacies,11,107.03,1177.37,0.1622,190.93,986.44,0
TXN-00024142,2024-01-04,Neurology,NEU-08,West,Retail,Tier-2 Clinics,16,45.55,728.72,0.0585,42.64,686.08,0
TXN-00024371,2024-01-04,Antibiotics,ANT-08,West,Distributor,Retail Chains,42,42.85,1799.83,0.1758,316.43,1483.4,0
TXN-00018985,2024-01-04,Cardiology,CAR-06,South,Government,Tier-1 Hospitals,19,81.95,1556.97,0.38,591.65,965.32,0
TXN-00013327,2024-01-04,Lipid Management,LIP-07,East,Retail,Retail Chains,6,102.57,615.39,0.0803,49.4,565.99,0
TXN-00017796,2024-01-04,Cardiology,CAR-04,South,Hospital,Retail Chains,7,83.25,582.76,0.081,47.2,535.56,0
TXN-00003947,2024-01-04,Renal Care,REN-01,South,Hospital,Tier-2 Clinics,4,64.0,255.98,0.0601,15.38,240.6,0
TXN-00004646,2024-01-04,Lipid Management,LIP-07,East,Government,Tier-1 Hospitals,10,93.96,939.63,0.1914,179.82,759.81,0
TXN-00018033,2024-01-04,Dermatology,DER-06,North,Retail,Tier-2 Clinics,16,36.99,591.83,0.0847,50.13,541.7,0
TXN-00009805,2024-01-04,Psychiatry,PSY-02,West,Retail,Independent Pharmacies,22,27.72,609.79,0.071,43.31,566.48,0
TXN-00005578,2024-01-04,Antibiotics,ANT-04,West,Online,Retail Chains,18,47.56,856.07,0.3252,278.42,577.65,0
TXN-00021984,2024-01-04,Analgesics,ANA-03,North,Distributor,Retail Chains,9,119.95,1079.52,0.38,410.22,669.3,0
TXN-00016615,2024-01-04,Lipid Management,LIP-04,North,Distributor,Retail Chains,10,104.3,1042.98,0.2208,230.27,812.72,0
TXN-00021604,2024-01-04,Cardiology,CAR-03,West,Retail,Public Health,10,80.12,801.23,0.322,257.98,543.25,1
TXN-00000250,2024-01-04,Wound Care,WOU-08,North,Retail,Independent Pharmacies,36,83.72,3014.02,0.0712,214.61,2799.41,0
TXN-00000643,2024-01-04,Antihistamines,ANT-01,West,Distributor,Tier-2 Clinics,39,50.91,1985.66,0.2251,447.02,1538.65,0
TXN-00000195,2024-01-04,Medical Nutrition,MED-08,North,Retail,Retail Chains,14,30.26,423.58,0.2388,101.15,322.43,1
TXN-00019251,2024-01-04,Cough Cold,COU-06,West,Hospital,Tier-1 Hospitals,9,101.82,916.39,0.3613,331.09,585.29,0
TXN-00001977,2024-01-04,Lipid Management,LIP-04,North,Retail,Retail Chains,3,100.4,301.2,0.1748,52.65,248.55,0
TXN-00014846,2024-01-04,Oral Rehydration,ORA-06,South,Distributor,Public Health,33,54.19,1788.23,0.38,679.53,1108.7,0
TXN-00002138,2024-01-04,Weight Management,WEI-08,East,Hospital,Independent Pharmacies,30,42.33,1269.92,0.0978,124.25,1145.67,0
TXN-00005425,2024-01-04,Hypertension,HYP-01,South,Retail,Tier-2 Clinics,33,63.71,2102.58,0.1864,391.99,1710.59,0
TXN-00022978,2024-01-04,Antivirals,ANT-06,West,Hospital,Specialty Centers,8,36.02,288.16,0.1746,50.3,237.86,0
TXN-00000899,2024-01-04,Oral Rehydration,ORA-04,East,Hospital,Independent Pharmacies,31,57.2,1773.08,0.1578,279.84,1493.24,0
TXN-00000122,2024-01-04,Psychiatry,PSY-01,South,Hospital,Independent Pharmacies,18,22.11,397.9,0.1033,41.12,356.78,0
TXN-00023865,2024-01-04,Lipid Management,LIP-07,Central,Government,Tier-1 Hospitals,12,101.67,1220.0,0.1452,177.16,1042.85,0
TXN-00012318,2024-01-04,Urology,URO-05,West,Hospital,Tier-2 Clinics,8,72.77,582.16,0.1396,81.27,500.88,0
TXN-00007084,2024-01-04,Respiratory,RES-07,Central,Distributor,Tier-1 Hospitals,18,44.98,809.56,0.1785,144.48,665.08,0
TXN-00010136,2024-01-05,Antibiotics,ANT-02,South,Hospital,Tier-1 Hospitals,47,47.9,2251.52,0.1805,406.4,1845.12,0
TXN-00000194,2024-01-05,Cardiology,CAR-02,West,Retail,Retail Chains,8,83.09,664.7,0.083,55.15,609.55,0
TXN-00020930,2024-01-05,Cough Cold,COU-04,West,Online,Retail Chains,6,84.97,509.8,0.38,193.72,316.07,0
TXN-00016976,2024-01-05,Cardiology,CAR-06,North,Hospital,Tier-1 Hospitals,11,71.8,789.83,0.2646,209.01,580.83,1
TXN-00007661,2024-01-05,Smoking Cessation,SMO-02,West,Retail,Retail Chains,14,57.19,800.73,0.0542,43.44,757.29,0
TXN-00013701,2024-01-05,Cardiology,CAR-03,Central,Hospital,Retail Chains,12,74.67,896.02,0.2358,211.27,684.75,0
TXN-00011672,2024-01-05,Antidiabetics,ANT-04,Central,Distributor,Public Health,38,96.59,3670.42,0.38,1394.76,2275.66,0
TXN-00023716,2024-01-05,Emergency Care,EME-01,South,Hospital,Retail Chains,12,47.2,566.44,0.1542,87.32,479.11,0
TXN-00017252,2024-01-05,Wound Care,WOU-05,West,Retail,Independent Pharmacies,36,84.39,3038.05,0.1463,444.45,2593.6,0
TXN-00013755,2024-01-05,Diagnostic Aids,DIA-05,North,Retail,Independent Pharmacies,34,140.81,4787.47,0.1475,705.97,4081.5,0
TXN-00008220,2024-01-05,Allergy,ALL-04,West,Hospital,Tier-1 Hospitals,34,58.94,2003.98,0.2725,546.08,1457.9,0
TXN-00010251,2024-01-05,Oral Rehydration,ORA-08,South,Distributor,Tier-2 Clinics,41,57.78,2369.18,0.1018,241.25,2127.93,0
TXN-00024944,2024-01-05,Pain Management,PAI-03,South,Retail,Retail Chains,4,52.14,208.57,0.1096,22.85,185.72,0
TXN-00008338,2024-01-05,Antivirals,ANT-05,South,Retail,Independent Pharmacies,8,34.44,275.51,0.1819,50.12,225.39,0
TXN-00003404,2024-01-05,Anesthesia,ANE-06,North,Government,Retail Chains,26,39.12,1017.02,0.1265,128.63,888.39,0
TXN-00005068,2024-01-05,Cardiology,CAR-08,West,Hospital,Retail Chains,8,81.52,652.15,0.3033,197.82,454.33,0
TXN-00020750,2024-01-05,Sleep Care,SLE-04,Central,Distributor,Retail Chains,30,48.15,1444.36,0.305,440.46,1003.89,1
TXN-00004234,2024-01-05,Vitamins,VIT-05,North,Retail,Tier-1 Hospitals,19,27.48,522.18,0.083,43.34,478.84,0
TXN-00001995,2024-01-05,Antibiotics,ANT-07,North,Retail,Specialty Centers,22,48.29,1062.32,0.1067,113.36,948.96,0
TXN-00022850,2024-01-05,Respiratory,RES-05,West,Distributor,Retail Chains,33,38.52,1271.22,0.38,483.06,788.16,0
TXN-00016349,2024-01-05,Anesthesia,ANE-07,South,Retail,Retail Chains,11,38.83,427.09,0.188,80.31,346.78,0
TXN-00009040,2024-01-05,Antihistamines,ANT-08,Central,Hospital,Retail Chains,32,55.48,1775.23,0.2816,499.89,1275.34,0
TXN-00010197,2024-01-05,Geriatrics,GER-04,South,Retail,Independent Pharmacies,34,41.93,1425.6,0.2606,371.56,1054.04,0
TXN-00013375,2024-01-05,Insulin,INS-03,East,Retail,Retail Chains,12,117.44,1409.23,0.0798,112.52,1296.7,0
TXN-00017830,2024-01-05,Insulin,INS-05,East,Retail,Tier-2 Clinics,25,116.34,2908.38,0.2865,833.39,2074.98,1
TXN-00008899,2024-01-05,Hypertension,HYP-07,North,Online,Retail Chains,35,65.26,2283.97,0.38,867.91,1416.06,0
TXN-00019134,2024-01-05,ENT,ENT-03,East,Government,Independent Pharmacies,52,68.66,3570.16,0.2731,975.11,2595.05,1
TXN-00017779,2024-01-05,Diagnostic Aids,DIA-08,East,Distributor,Retail Chains,36,128.96,4642.59,0.1148,532.87,4109.72,0
TXN-00006275,2024-01-05,Antibiotics,ANT-05,North,Online,Independent Pharmacies,28,45.21,1266.02,0.0974,123.31,1142.71,0
TXN-00024558,2024-01-05,Allergy,ALL-01,South,Retail,Retail Chains,25,59.98,1499.56,0.1187,178.02,1321.54,0
TXN-00013593,2024-01-05,Vaccines,VAC-03,North,Retail,Tier-2 Clinics,2,41.04,82.07,0.0592,4.86,77.21,0
TXN-00024074,2024-01-05,Diagnostic Aids,DIA-05,West,Retail,Retail Chains,27,157.97,4265.32,0.0506,215.84,4049.48,0
TXN-00011433,2024-01-05,Cardiology,CAR-06,North,Hospital,Tier-1 Hospitals,9,72.71,654.38,0.2295,150.17,504.2,0
TXN-00018721,2024-01-05,Cardiology,CAR-01,East,Online,Public Health,7,69.11,483.76,0.2624,126.96,356.8,0
TXN-00018756,2024-01-05,Oncology Support,ONC-08,Central,Online,Retail Chains,5,41.99,209.95,0.1067,22.41,187.54,0
TXN-00010740,2024-01-05,Analgesics,ANA-07,South,Distributor,Independent Pharmacies,13,119.97,1559.6,0.1124,175.23,1384.37,0
TXN-00001750,2024-01-05,Cardiology,CAR-02,South,Retail,Tier-2 Clinics,13,80.08,1041.09,0.1944,202.36,838.73,1
TXN-00005504,2024-01-06,Gastrointestinal,GAS-05,North,Retail,Independent Pharmacies,22,34.81,765.8,0.1559,119.42,646.37,0
TXN-00000628,2024-01-06,Ophthalmology,OPH-02,Central,Distributor,Independent Pharmacies,19,35.61,676.55,0.0861,58.25,618.29,0
TXN-00021866,2024-01-06,Wound Care,WOU-02,East,Retail,Tier-1 Hospitals,22,91.58,2014.83,0.2882,580.76,1434.07,0
TXN-00016211,2024-01-06,Wound Care,WOU-03,South,Distributor,Independent Pharmacies,41,83.2,3411.2,0.1093,372.82,3038.38,0
TXN-00022921,2024-01-06,Psychiatry,PSY-05,North,Retail,Tier-1 Hospitals,15,30.03,450.47,0.0772,34.76,415.71,0
TXN-00009331,2024-01-06,Analgesics,ANA-03,West,Online,Specialty Centers,7,112.28,785.95,0.2009,157.86,628.09,1
TXN-00020017,2024-01-06,Vaccines,VAC-07,East,Distributor,Independent Pharmacies,8,43.73,349.81,0.3288,115.0,234.8,0
TXN-00022822,2024-01-06,Oncology Support,ONC-01,South,Distributor,Independent Pharmacies,8,44.29,354.34,0.2124,75.25,279.09,0
TXN-00019631,2024-01-06,Minerals,MIN-04,East,Hospital,Tier-2 Clinics,12,77.52,930.21,0.0575,53.53,876.69,0
TXN-00014770,2024-01-06,Hypertension,HYP-06,South,Retail,Tier-1 Hospitals,26,59.45,1545.58,0.0674,104.15,1441.42,0
TXN-00003710,2024-01-06,Antihistamines,ANT-04,North,Retail,Retail Chains,32,62.4,1996.91,0.2112,421.73,1575.19,0
TXN-00008358,2024-01-06,Antivirals,ANT-01,South,Retail,Tier-2 Clinics,4,34.77,139.09,0.3605,50.14,88.95,1
TXN-00007076,2024-01-06,Dermatology,DER-04,South,Hospital,Independent Pharmacies,12,35.58,426.97,0.1434,61.23,365.74,0
TXN-00012300,2024-01-06,Antihistamines,ANT-06,West,Government,Retail Chains,39,61.05,2380.89,0.3435,817.78,1563.11,0
TXN-00007911,2024-01-06,Women Health,WOM-03,North,Retail,Specialty Centers,4,22.2,88.8,0.1831,16.26,72.54,1
TXN-00016433,2024-01-06,Immunology,IMM-06,South,Government,Tier-1 Hospitals,41,34.72,1423.68,0.207,294.76,1128.92,0
